,Net1_NT1,Net2_NT1,Net3_NT1,Net4_NT1,Net5_NT1
214,-154.48401,-211.54655,11.661087,-43.58722,28.260632
215,-170.76031,-222.46806,31.663574,-62.43613,37.811077
216,-176.78073,-230.3498,12.974632,-85.65592,34.76846
217,-198.26337,-225.70204,-16.598518,-78.25735,8.715597
218,-250.32416,-199.11488,-12.788071,-78.33683,-28.63633
219,-304.16113,-173.73352,-2.4186783,-88.35597,-31.22732
220,-321.16626,-164.27393,-1.7452927,-74.33619,-6.3414507
221,-339.8432,-141.37955,14.074867,-62.282146,-6.393322
222,-352.96716,-132.72972,31.09494,-73.82275,-28.151
223,-312.3664,-162.61339,31.08532,-89.51858,-29.14283
224,-284.5078,-177.19861,16.965767,-101.209496,-0.36984634
225,-328.4193,-173.48044,4.2080917,-91.802315,33.577557
226,-358.03882,-174.1993,0.53731537,-58.961567,57.63091
227,-348.70813,-151.23088,-7.273903,-39.595135,70.73724
228,-376.26874,-131.41548,-23.308647,-49.396763,79.11606
229,-409.63574,-143.891,-26.27562,-54.41133,89.20473
230,-407.84894,-116.25787,-12.268654,-34.61811,96.06244
231,-378.8706,-41.134296,-18.703125,-16.851295,94.03891
232,-288.22015,-10.412732,-63.403435,-29.270874,84.99147
233,-198.25711,7.1939764,-94.23701,-43.691784,89.1638
234,-173.63705,48.56854,-99.80547,-42.21691,102.873474
235,-117.53085,75.52792,-119.33381,-55.61318,103.92424
236,-19.350464,108.31904,-134.55093,-63.53815,101.689224
237,58.846237,142.35506,-131.79437,-36.083454,122.15193
238,115.20328,133.03592,-110.43066,-22.776268,134.92699
239,126.11808,103.47769,-83.31249,-41.831234,108.00629
240,102.56802,74.7955,-77.31815,-39.88732,92.01259
241,40.750717,73.960594,-67.19555,-25.648094,93.91812
242,-81.347534,86.31689,-61.19004,-38.172615,75.44145
243,-184.30133,69.469826,-71.10758,-46.504482,69.522736
244,-247.05713,40.18542,-61.518944,-36.23804,79.09863
245,-344.49982,9.519929,-51.60592,-26.41833,78.878555
246,-461.74017,-48.513348,-67.54313,-0.20073032,68.24956
247,-572.411,-101.06388,-78.30526,32.403847,54.411953
248,-678.8341,-122.61977,-71.34795,49.365673,68.08421
249,-744.0234,-167.94844,-87.41247,47.260563,96.09508
250,-777.8477,-230.79759,-151.15604,25.188473,96.142624
251,-813.5873,-259.23697,-203.03857,12.664485,82.30867
252,-830.4176,-279.33905,-197.4726,24.124813,77.68527
253,-828.4955,-307.169,-186.88635,43.44508,81.29907
254,-826.68494,-310.90857,-204.86981,67.16405,94.53769
255,-803.5603,-311.15686,-211.29242,76.73872,124.057144
256,-740.4976,-336.5746,-200.91534,66.96573,152.61794
257,-664.7731,-358.4939,-210.05185,63.322887,171.99716
258,-594.62787,-366.60574,-221.2886,61.458263,200.94434
259,-499.42798,-378.4152,-222.80087,55.346134,215.87642
260,-382.4546,-376.48004,-256.042,44.762142,214.07173
261,-276.8653,-369.12772,-302.8397,22.592926,221.41852
262,-168.2156,-388.4668,-312.24435,9.315448,216.87479
263,-65.294464,-413.71112,-295.17145,9.277219,193.07564
264,-10.278595,-416.26663,-257.20935,-3.315442,178.7338
265,27.011017,-421.79156,-223.17282,-18.729145,174.47096
266,91.64282,-438.971,-224.85571,-19.98209,156.3068
267,161.37675,-448.9165,-240.15152,-25.572147,129.68625
268,217.09052,-448.2564,-241.63605,-30.969105,124.054535
269,282.02527,-449.07028,-246.20206,-37.880955,136.6641
270,345.8363,-460.1648,-265.58002,-54.65197,130.53607
271,386.66998,-463.4547,-271.39832,-56.06948,120.70944
272,402.65808,-443.13156,-242.55862,-49.189205,128.95528
273,410.0277,-432.28653,-230.9635,-65.118095,123.550186
274,430.15643,-444.7624,-252.01978,-81.509346,111.4458
275,454.64978,-435.1885,-241.16614,-70.351425,117.37843
276,436.20267,-402.08643,-206.47943,-60.001617,122.477936
277,390.62988,-375.59518,-201.11945,-74.8642,126.905075
278,380.91656,-360.66998,-206.28442,-90.22569,132.20453
279,381.0718,-345.88412,-193.30182,-104.81821,117.60075
280,361.1602,-337.57977,-179.18661,-120.960075,94.68182
281,345.66287,-324.98706,-182.72101,-113.25075,87.851135
282,338.9547,-281.1927,-193.78467,-104.19895,81.98035
283,301.24408,-222.77039,-187.3146,-114.61591,59.991383
284,254.89043,-183.45932,-165.8667,-120.62184,43.370167
285,241.11536,-153.13368,-146.86438,-117.45103,54.557804
286,229.57889,-132.49467,-148.27426,-112.16728,73.31247
287,176.47833,-114.39456,-132.38162,-95.28845,58.737644
288,136.79669,-112.85812,-97.183815,-82.01317,40.572502
289,121.62485,-134.1707,-97.403786,-82.89838,48.835354
290,84.69141,-134.39612,-115.88543,-73.872185,45.456806
291,48.61699,-103.20278,-116.6383,-58.120354,37.195545
292,35.890823,-91.71948,-133.80646,-64.90806,42.830235
293,29.69957,-97.59694,-147.93869,-82.54961,35.08814
294,21.371338,-77.483475,-127.12449,-89.10411,28.062656
295,3.2143402,-52.591213,-105.84551,-81.157005,32.577198
296,-20.37384,-47.06786,-90.38651,-53.907875,37.33018
297,-44.610443,-23.190128,-68.72854,-22.861742,43.131844
298,-72.636536,5.9059477,-59.964897,-13.890406,52.52203
299,-76.9931,2.8720913,-74.33932,-16.69733,62.529232
300,-68.50238,-10.781446,-91.769554,-23.379436,55.728413
301,-86.1322,-28.821419,-91.14605,-48.135235,34.908466
302,-110.564514,-49.3098,-94.03246,-73.59785,34.53218
303,-129.70605,-56.70641,-101.11164,-86.56531,51.454945
304,-151.17877,-70.38902,-70.26423,-97.49976,58.681477
305,-167.89777,-85.047104,-27.471893,-101.10253,61.721195
306,-194.48965,-66.00639,-11.9811325,-83.03579,64.242325
