,Net1_M1,Net2_M1,Net3_M1,Net4_M1,Net5_M1
223,-555.73755,159.8429,-22.00898,109.222244,6.615635
224,-580.8616,183.88724,-7.938095,119.57504,9.733486
225,-622.6828,152.38606,25.904129,113.98616,12.145863
226,-663.35126,123.30011,65.8614,100.50187,11.3578415
227,-673.1643,156.58025,69.37759,114.61043,28.000946
228,-683.527,201.8699,62.616356,127.819565,58.601254
229,-703.0669,217.68097,95.503426,120.78879,38.44434
230,-678.33435,241.27354,110.756226,105.20499,14.406212
231,-601.1255,295.5578,90.183334,99.77418,38.891193
232,-521.71576,342.19125,87.062164,102.19671,44.497723
233,-476.99335,338.88974,99.350464,101.40153,42.32216
234,-436.1781,314.55005,108.332275,97.19812,64.36473
235,-363.84998,338.73444,85.0189,85.43664,73.80725
236,-276.88837,391.0534,59.38724,75.09925,74.01788
237,-200.07281,377.97897,75.15621,75.991844,91.34747
238,-144.71484,299.67627,81.81077,57.00201,108.33009
239,-129.81332,235.58365,70.24304,15.37449,98.66443
240,-143.15396,189.15057,47.868267,-7.038432,73.41098
241,-154.04306,121.14812,3.500534,-7.3999186,58.13294
242,-188.16986,62.361065,-19.210213,-3.5221243,46.589302
243,-278.2887,60.708393,-4.162483,2.7832365,14.630711
244,-394.14954,61.178997,11.335098,9.798533,-6.8589687
245,-513.538,40.061592,15.224693,32.376957,-0.9940834
246,-617.9712,29.276531,19.177498,61.162724,-9.409842
247,-696.8159,9.233909,6.4123306,73.8076,-26.593758
248,-753.211,-4.4210043,-28.44445,89.93753,-16.977102
249,-784.9143,21.748833,-43.481194,96.83368,1.0987663
250,-783.245,35.024227,-20.880463,81.324844,12.817429
251,-754.5394,19.526493,-10.853691,78.47216,19.337282
252,-715.27325,-6.2293234,-28.93229,74.56614,4.815115
253,-668.65643,-35.18243,-28.088646,64.365814,-8.479493
254,-606.07434,-43.307896,-0.70163727,84.59061,9.916027
255,-542.55273,-55.728104,-2.8091965,101.11096,42.359863
256,-471.32074,-99.068214,-29.05439,83.6295,72.67952
257,-385.65784,-132.74083,-28.973442,73.11745,89.01544
258,-306.97314,-143.47534,-21.436142,74.93238,93.159454
259,-233.126,-135.26508,-39.199883,76.00749,124.88396
260,-164.85083,-107.19874,-48.29419,84.694565,153.91443
261,-90.29779,-96.63584,-55.216606,73.73528,147.18208
262,3.5247803,-110.34391,-85.03031,46.976482,143.55214
263,78.516525,-122.31476,-115.42304,42.255035,147.15785
264,137.32181,-130.41309,-125.6863,42.047134,135.86722
265,194.54506,-121.4875,-139.56168,24.70264,122.823
266,226.07407,-119.06536,-152.2425,5.345504,120.012955
267,230.58119,-148.76631,-125.79009,-2.5762177,116.95874
268,241.38445,-167.93904,-108.37531,-10.202634,97.93004
269,258.22333,-159.0252,-141.28519,-40.39572,82.14906
270,273.70078,-162.4011,-153.34518,-64.77432,102.83661
271,293.22827,-163.41354,-131.956,-42.956795,134.50476
272,282.86267,-119.418915,-121.42025,-17.687157,124.29277
273,269.90002,-75.36913,-143.42804,-19.19076,88.69556
274,290.9,-76.85492,-156.17154,-14.433117,74.33444
275,272.3418,-68.51545,-128.73837,-8.420616,75.60187
276,197.88104,-17.619339,-106.1699,-13.876659,65.392105
277,146.26215,27.384464,-98.80338,-6.612195,72.22858
278,128.29013,31.639042,-94.48748,1.7829008,92.301636
279,95.92456,28.232891,-92.749916,-19.766994,68.18239
280,40.98523,42.56228,-78.70539,-53.54411,33.992546
281,-16.520996,64.623276,-52.26351,-50.820797,23.581448
282,-69.13562,96.925995,-39.650078,-24.89576,13.811428
283,-112.95352,123.46068,-27.957916,-26.332718,16.487183
284,-124.49066,134.80779,-18.165268,-31.97631,39.91513
285,-137.77429,166.67921,-25.007347,-8.46001,64.109085
286,-177.12976,210.85052,-7.222145,10.782714,57.25938
287,-199.21594,241.58353,37.37298,23.290085,42.582447
288,-230.88922,277.64102,52.876278,47.50928,53.1088
289,-279.53845,308.96658,33.710777,52.42194,45.824196
290,-302.46118,321.62726,18.97153,43.258183,24.118382
291,-352.78473,350.59787,49.9031,50.99068,24.480148
292,-416.0714,396.64655,81.89527,49.66744,31.564503
293,-441.73108,420.49567,52.826027,22.286839,27.782375
294,-489.12805,427.14902,17.005505,3.8769865,8.701881
295,-548.50635,442.8925,29.804855,15.8548765,2.8578167
296,-570.8573,467.4871,70.43605,32.17913,2.109829
297,-543.6124,466.0023,64.61315,31.418,-14.511529
298,-493.92212,432.91156,10.710335,30.644451,1.8708267
299,-476.2055,406.154,3.1992874,25.298157,29.294342
300,-451.93005,383.5813,38.698917,18.51572,9.132137
301,-434.37158,366.87042,44.567837,32.38849,-4.5144243
302,-473.46075,365.98633,27.886604,35.061123,14.523987
303,-490.761,353.4084,34.766846,33.118668,23.420704
304,-481.04114,341.58704,59.242897,67.66711,29.53571
305,-498.9945,338.87924,62.08612,87.86612,33.351322
306,-532.9146,348.50388,81.779884,78.9789,21.755646
307,-558.7028,380.0984,127.240234,95.37549,35.485916
308,-551.0446,374.30588,123.62775,108.92268,56.910915
309,-559.0159,334.85022,115.72664,88.58971,53.167446
310,-608.00836,339.60486,153.84607,80.411934,55.33827
311,-625.6969,360.90158,177.03484,99.35272,62.16933
312,-603.6692,332.9752,167.44733,112.22321,67.61203
313,-601.7583,311.21277,145.7533,115.83087,89.53024
314,-633.1116,327.0853,113.107994,115.95586,97.44983
315,-670.7094,313.60034,101.36134,105.33193,86.85149
316,-695.8762,275.27405,132.09555,85.44882,85.186584
317,-734.2294,281.6684,159.33276,84.08242,81.67735
318,-775.6945,312.83264,150.5886,104.156685,72.32344
319,-784.1981,310.1342,123.21092,98.55288,63.044727
320,-758.5772,271.45752,95.33661,62.640675,45.092667
321,-688.10974,250.6013,73.42355,46.388058,21.181355
322,-591.59454,274.8374,46.55922,43.521,9.846962
323,-495.4674,301.36966,-6.6701813,32.786808,8.685812
324,-422.21625,317.46786,-33.25438,34.506855,30.258083
325,-390.64307,336.31354,-7.684181,41.003204,51.335762
326,-327.71576,349.26514,10.515823,41.843525,41.967598
327,-211.45288,369.64212,-3.271019,52.177334,69.9288
328,-140.71542,381.7108,5.018692,66.18907,114.338684
329,-109.13376,342.30496,51.54068,77.750244,100.050766
330,-57.554565,285.80453,66.4893,87.93907,87.17285
331,-34.276245,242.60066,8.499985,82.74154,103.0744
332,-64.031586,193.33398,-57.442375,70.19648,105.3358
333,-120.08862,183.92441,-73.86367,65.29726,84.97188
334,-190.91821,220.18718,-62.344032,60.639874,62.80946
335,-265.50876,232.48413,-62.57972,62.931355,49.050034
336,-361.87476,223.79756,-53.858315,59.139095,37.27274
337,-477.93,217.2133,-25.755371,32.246895,25.625877
338,-567.0062,200.4882,-8.780846,27.782185,1.7814665
339,-621.2715,178.00769,-11.430527,47.403736,-18.659847
340,-645.27167,153.81763,-21.169525,53.009144,-1.8445129
341,-655.79285,140.67479,-19.224968,66.820404,24.528744
342,-661.34814,132.97668,-7.9051666,79.848755,26.701492
343,-623.577,90.23544,-10.637184,64.76888,24.484531
344,-545.6102,28.013836,-50.57679,56.48936,44.383568
345,-477.08844,-14.360442,-105.11225,61.389492,63.5003
346,-426.85278,-53.374763,-117.971504,58.926853,59.433018
347,-358.5271,-93.456,-112.13122,54.99265,68.04349
348,-250.29245,-119.66198,-134.4819,47.819073,95.53192
349,-144.31647,-132.48497,-156.95847,29.797913,107.336426
350,-96.55478,-132.56288,-150.11664,25.15063,127.49835
351,-72.13208,-134.39911,-138.31558,38.300034,167.17892
352,-17.5654,-132.88068,-136.92865,33.753,161.78676
353,39.03653,-107.05878,-132.17487,18.776554,119.73567
354,86.86438,-90.13591,-145.44601,4.169877,127.35187
355,118.24348,-78.67189,-130.36102,-5.178954,164.31485
356,124.14949,-55.760204,-59.039284,-1.8778648,164.33533
357,133.62637,-51.06919,-44.964928,-16.902845,148.06769
358,170.83331,-55.968933,-95.98501,-44.718845,160.71167
359,213.26831,-57.231503,-102.25231,-59.75843,176.77266
360,233.96991,-64.83495,-76.92725,-71.37657,152.73639
361,251.64102,-70.19932,-69.851585,-75.44725,120.404236
362,282.1157,-59.815018,-74.79989,-72.30144,115.24953
363,288.81595,-44.164,-81.70666,-79.3746,103.61929
364,258.35458,-21.764282,-66.563225,-78.99365,82.73096
365,236.25279,19.28992,-49.363014,-72.33204,81.68829
366,256.81686,59.650913,-61.341682,-83.55782,82.39397
367,268.70917,78.12485,-86.705345,-95.41055,61.606503
368,243.71935,79.21001,-100.788414,-82.94543,32.643005
369,223.45807,98.3573,-102.271,-50.209904,28.820019
370,192.71689,146.91266,-88.11834,-21.411213,40.235237
371,132.5824,189.5293,-61.066063,-21.48006,45.49546
372,99.90662,185.80557,-39.11624,-26.737858,44.284355
373,85.02168,170.34134,-28.025566,-21.734861,43.771484
374,43.298706,192.86235,-34.279167,-31.939453,56.955807
375,-9.075119,235.94078,-51.970192,-43.842445,79.55191
376,-55.42459,254.84026,-59.610023,-37.6376,80.73959
377,-115.67151,259.82596,-62.42759,-28.171806,63.99744
378,-190.09473,275.75623,-49.432365,-9.730054,67.2984
379,-267.00296,314.26224,-10.023201,9.99005,69.74603
380,-313.2019,367.73026,-4.066902,11.997869,56.03928
381,-324.87463,407.14148,-32.182854,14.800115,46.66169
382,-358.4348,425.89822,-21.914948,25.419197,39.40752
383,-399.27448,414.63687,-1.7724304,21.861732,42.515614
384,-407.6469,407.66992,-19.487701,12.709903,68.15787
385,-433.66565,444.80405,-11.283676,4.233121,62.18633
386,-486.83655,460.30228,55.566917,-6.5659533,18.748074
387,-506.36475,453.01474,93.19848,8.469821,6.628275
388,-498.51953,479.7942,75.70779,38.097336,30.531708
389,-484.2296,489.2058,60.712303,35.17546,52.240543
390,-456.5835,459.98242,50.092854,15.590369,43.212036
391,-450.13422,442.246,34.83724,8.290389,16.202816
392,-469.5345,452.25916,47.701996,12.772277,15.730415
393,-476.1062,475.93036,73.586136,24.207748,34.31528
394,-474.83997,486.7774,80.86117,25.610374,41.39024
395,-467.34467,469.2949,66.10653,21.151493,49.12098
396,-451.06287,450.23254,41.363834,32.254528,60.165783
397,-455.53772,439.4003,28.907093,42.092567,44.37455
398,-460.8532,407.20807,17.941135,36.573605,10.441473
399,-439.401,356.56174,0.22012329,31.91858,17.684807
400,-422.98578,325.24997,11.554939,35.267048,68.646484
401,-429.28754,323.50165,48.06846,31.697361,89.05318
402,-461.0705,316.97598,66.21265,5.8659563,58.543743
403,-511.15955,293.64374,76.275604,-10.393982,25.406643
404,-544.39374,287.01678,102.417786,21.091965,20.477146
405,-568.0999,300.61285,121.74121,53.478848,39.26794
406,-611.322,308.08234,115.12347,41.46832,50.37321
407,-642.6064,306.7903,104.966576,35.008938,26.722084
408,-625.9322,285.94098,98.826065,51.559834,2.9642696
409,-586.07367,238.4963,68.03194,41.369633,7.9329605
410,-574.73865,208.336,49.916435,18.529549,7.2608337
411,-583.6297,214.1269,62.55778,14.356803,-8.338624
412,-573.9663,203.0484,52.28344,7.454772,-1.3411627
413,-552.1504,169.0007,24.015278,-4.0424385,16.058247
414,-541.62146,151.2972,5.8152237,-5.965024,-0.1091423
415,-556.9431,169.02452,14.982315,12.432265,-6.3664265
416,-576.4298,242.5126,71.52493,47.129333,6.8332653
417,-551.54016,332.82904,89.913,52.66094,4.96249
418,-468.3448,360.71555,33.56963,15.205411,8.322948
419,-335.0481,304.59607,-26.13224,-11.449862,6.5740356
420,-213.61765,244.77586,-54.391518,-1.682559,-10.842517
421,-143.1181,262.8659,-37.68612,10.437915,-11.835103
422,-69.71631,325.13583,-9.273628,-0.21320724,-5.187171
423,29.21605,327.8591,-10.297653,-10.74508,9.008228
424,84.04784,272.14493,6.700989,-7.042609,28.683605
425,69.62869,221.3755,64.426,-9.814909,33.01588
426,12.450012,182.72649,98.259346,-29.704472,47.00839
427,-88.31329,168.16998,83.712204,-51.945255,55.265408
428,-187.48969,170.40698,60.38172,-57.283653,31.321941
429,-278.47156,150.69777,49.569344,-56.093094,15.19252
430,-404.1349,129.12892,53.783306,-66.29819,7.3662186
431,-530.29254,132.14313,43.359978,-68.891014,-10.388576
432,-600.5999,119.63556,7.4637985,-38.17267,-28.532684
433,-642.17413,90.106575,-15.986099,-6.09035,-44.63425
434,-687.2398,92.021164,-26.178123,-3.289566,-56.32307
435,-682.836,102.29354,-46.90049,-4.8174086,-67.826935
436,-636.43414,86.86484,-70.93966,7.8354025,-56.189274
437,-607.7244,82.885895,-82.408104,22.987011,-9.244024
