,coords,areas,subjs,regions
190,[-66688.47366461 -47999.48052148  14797.5810796 ],['STG' 'STG'],BJH072,STG
191,[-30.97065  37.95545  23.72245],['SFS' 'SFS'],LL36,DLPFC
192,[-61.60675 -11.45285 -19.5732 ],['STS' 'STS'],LL36,STS
193,[-32.75565 -16.57    -13.88575],['HPC' 'HPC'],LL36,HPC
194,[-48.5395  -17.12515 -11.02135],['STS' 'STS'],LL36,STS
195,[-52.83245   -47.0223      1.2538985],['MTG' 'MTG'],LL36,MTG
196,[-56.9841   -49.73865    2.666505],['MTG' 'MTG'],LL36,MTG
197,[-61.3562  -52.1471    4.29883],['MTG' 'MTG'],LL36,MTG
198,[24.88815 40.7842  27.63575],['MFG' 'MFG'],LL36,DLPFC
199,[27.36135 42.64505 33.0172 ],['MFG' 'MFG'],LL36,DLPFC
200,[28.8615  44.14945 38.1354 ],['MFG' 'MFG'],LL36,DLPFC
201,[ 26.6946   -6.38307 -17.599  ],['AMY' 'AMY'],LL36,AMY
202,[ 57.74725 -15.28485 -21.8121 ],['ITS' 'ITS'],LL36,VS
203,[ 31.97205  -40.82205   -2.387355],['HPC' 'HPC'],LL36,HPC
204,[ 63.878     -45.6497      0.6924255],['MTG' 'MTG'],LL36,MTG
205,[-40333.91439218  -3136.41333544 -20103.62966164],['INS' 'INS'],BJH069,INS
206,[-43893.26439063  -3018.31784825 -20666.50222411],['STG' 'STG'],BJH069,STG
207,[-47452.61438909  -2900.22236107 -21229.37478657],['STS' 'STS'],BJH069,STS
208,[-51025.00838909  -2678.44836107 -21267.47578657],['STS' 'STS'],BJH069,STS
209,[-54597.40238909  -2456.67436107 -21305.57678657],['MTG' 'MTG'],BJH069,MTG
210,[-61124.44249861 -31774.50388695 -10106.52541451],['MTG' 'MTG'],BJH069,MTG
211,[-64709.2625001  -32040.08094495 -10049.21040264],['MTG' 'MTG'],BJH069,MTG
212,[-34557.70231187   8782.69260986 -34981.42595432],['TP' 'TP'],BJH069,TP
213,[-48478.5663287    9005.48153837 -30643.96641898],['TP' 'TP'],BJH069,TP
214,[-36168.91232178  -1035.04407509 -39052.75392793],['TP' 'TP'],BJH069,TP
215,[-39741.30632178   -813.27007509 -39090.85492793],['TP' 'TP'],BJH069,TP
216,[-43326.12632327  -1078.84713309 -39033.53991607],['TP' 'TP'],BJH069,TP
217,[-46910.94632477  -1344.42419109 -38976.22490421],['TP' 'TP'],BJH069,TP
218,[-46905.0603851  -13777.79366134 -30001.87482241],['FUG' 'FUG'],BJH069,VS
219,[-50477.4543851  -13556.01966134 -30039.97582241],['FUG' 'FUG'],BJH069,VS
220,[-54062.2743866  -13821.59671934 -29982.66081055],['ITG' 'ITG'],BJH069,VS
221,[-57647.09438809 -14087.17377734 -29925.34579869],['ITG' 'ITG'],BJH069,VS
222,[-33277.77046456 -36948.31831047 -22216.28889003],['PHC' 'PHC'],BJH069,PHC
223,[-36862.59046605 -37213.89536847 -22158.97387817],['PHC' 'PHC'],BJH069,PHC
224,[-10409.73647487  -7122.0780641    2978.9925538 ],['ANT' 'ANT'],BJH069,N
225,[-13408.4224673   -5677.28991572   1610.54339328],['ANT' 'ANT'],BJH069,N
226,[-16917.45045974  -4200.81976735    236.65123275],['PAL' 'PAL'],BJH069,N
227,[-20451.94845521  -3108.02216416   -517.05335345],['PAL' 'PAL'],BJH069,N
228,[-23476.10445067  -2046.90656097  -1265.31493964],['PAL' 'PAL'],BJH069,N
229,[-26997.5584446  -1057.7874706  -2543.7910883],['PUT' 'PUT'],BJH069,N
230,[-30532.05644007     35.01013259  -3297.4956745 ],['PUT' 'PUT'],BJH069,N
231,[-33556.21243554   1096.12573577  -4045.75726069],['PUT' 'PUT'],BJH069,N
232,[-36554.89842797   2540.91388415  -5414.20642122],['INS' 'INS'],BJH069,INS
233,[-40076.97042195   4121.06254534  -6263.32701928],['INS' 'INS'],BJH069,INS
234,[-43611.46841742   5213.86014852  -7017.03160548],['INS' 'INS'],BJH069,INS
235,[-46622.58041135   6171.2972389   -8290.06475414],['STG' 'STG'],BJH069,STG
236,[-50157.07840682   7264.09484208  -9043.76934033],['STG' 'STG'],BJH069,STG
237,[-53691.57640229   8356.89244527  -9797.47392653],['STG' 'STG'],BJH069,STG
238,[-17498.38252968 -30061.46734743   2574.42603729],['pTHAL' 'pTHAL'],BJH069,N
239,[-35336.73652679 -26795.8360898    3051.80011478],['INS' 'INS'],BJH069,INS
240,[-38896.7045253  -26086.7110318    2918.28310291],['A1' 'A1'],BJH069,A1
241,[-42469.71652535 -25273.90746098   3309.53765352],['A1' 'A1'],BJH069,A1
242,[-46042.7285254  -24461.10389017   3700.79220413],['A1' 'A1'],BJH069,A1
243,[-49615.1225254  -24239.32989017   3662.69120413],['A1' 'A1'],BJH069,A1
244,[-53175.0905239  -23530.20483217   3529.17419226],['A1' 'A1'],BJH069,A1
245,[-56735.05852241 -22821.07977417   3395.6571804 ],['STG' 'STG'],BJH069,STG
246,[-60295.02652092 -22111.95471617   3262.14016854],['STG' 'STG'],BJH069,STG
247,[-29455.81237281   3124.85798938 -20800.37926525],['INS' 'INS'],BJH069,INS
248,[-30020.18437913   5344.34275307 -17418.66936356],['INS' 'INS'],BJH069,INS
249,[-31107.32438695   7108.15845876 -13946.98645001],['INS' 'INS'],BJH069,INS
250,[-31658.65239173   9223.96470964 -11090.04811078],['INS' 'INS'],BJH069,INS
251,[-32209.98039651  11339.77096053  -8233.10977156],['INS' 'INS'],BJH069,INS
252,[-32773.73440278  12968.22615341  -5280.75542047],['INS' 'INS'],BJH069,INS
253,[-33338.10640911  15187.7109171   -1899.04551878],['INS' 'INS'],BJH069,INS
254,[-33902.47841543  17407.19568079   1482.66438291],['INS' 'INS'],BJH069,INS
255,[-34466.23242171  19035.65087367   4435.018734  ],['INS' 'INS'],BJH069,INS
